parameter,value,workload,balance_score,throughput_mops,redirects,blocked,max_min_ratio,latency_p99
num_shards,2,Uniform,0.9988,56.4462,1,0,1.0024,0.04429
num_shards,4,Uniform,0.995101,31.1896,1,0,1.01216,0.080155
num_shards,8,Uniform,0.987085,27.9252,9,0,1.04382,0.089525
num_shards,16,Uniform,0.989266,22.5774,9,0,1.03796,0.11073
num_shards,32,Uniform,0.97685,17.9346,29,0,1.10449,0.139395
num_shards,64,Uniform,0.968272,8.80762,60,0,1.17435,0.283845
num_shards,2,Zipfian,0.9479,6.47341,1,0,1.10993,0.386195
num_shards,4,Zipfian,0.886816,4.64153,3,0,1.34096,0.538615
num_shards,8,Zipfian,0.816274,4.89175,21,2,1.69615,0.511065
num_shards,16,Zipfian,0.781911,3.55056,1648,6056,1.87977,0.704115
num_shards,32,Zipfian,0.622937,3.91942,1616,8033,3.42122,0.63785
num_shards,64,Zipfian,0.370322,2.68588,1647,10539,6.96322,0.930795
num_shards,2,Adversarial,0.5,8.8213,15000,0,3,0.283405
num_shards,4,Adversarial,0.711325,2.92029,37500,0,1.8,0.85608
num_shards,8,Adversarial,0.811018,2.62495,48750,0,1.61545,0.9524
num_shards,16,Adversarial,0.811018,2.2035,48750,0,1.61545,1.13456
num_shards,32,Adversarial,0.810917,2.17971,48748,0,1.61574,1.14694
num_shards,64,Adversarial,0.810715,1.84913,48744,0,1.61724,1.35198
hotspot_threshold,1.1,Uniform,0.983766,44.6828,43,0,1.05458,0.05595
hotspot_threshold,1.25,Uniform,0.992479,53.3732,16,0,1.02663,0.04684
hotspot_threshold,1.5,Uniform,0.987085,45.5125,9,0,1.04382,0.05493
hotspot_threshold,2,Uniform,0.993492,52.7482,1,0,1.02241,0.047395
hotspot_threshold,3,Uniform,0.9901,50.2462,0,0,1.03462,0.049755
hotspot_threshold,5,Uniform,0.989703,50.0952,0,0,1.03408,0.049905
hotspot_threshold,1.1,Zipfian,0.941322,4.32616,2820,6123,1.14753,0.57788
hotspot_threshold,1.25,Zipfian,0.883626,5.19923,1607,2998,1.36376,0.48084
hotspot_threshold,1.5,Zipfian,0.816274,6.16797,21,2,1.69615,0.40532
hotspot_threshold,2,Zipfian,0.799202,4.78057,4,0,1.7736,0.52295
hotspot_threshold,3,Zipfian,0.804843,5.99564,0,0,1.73981,0.41697
hotspot_threshold,5,Zipfian,0.807211,5.53305,1,0,1.74535,0.45183
hotspot_threshold,1.1,Adversarial,0.962204,2.23288,51750,0,1.11607,1.11963
hotspot_threshold,1.25,Adversarial,0.905509,2.08095,50625,0,1.29632,1.20137
hotspot_threshold,1.5,Adversarial,0.811018,2.46433,48750,0,1.61545,1.01448
hotspot_threshold,2,Adversarial,0.622036,3.02442,45000,0,2.33354,0.826605
hotspot_threshold,3,Adversarial,0.244071,3.24309,37500,0,4.20011,0.77087
hotspot_threshold,5,Adversarial,0,5.93549,22500,0,11.6677,0.421195
max_consecutive_redirects,1,Uniform,0.984284,50.0651,5,0,1.05245,0.049935
max_consecutive_redirects,2,Uniform,0.992342,25.9754,6,0,1.02705,0.096245
max_consecutive_redirects,3,Uniform,0.987085,28.1246,9,0,1.04382,0.08889
max_consecutive_redirects,5,Uniform,0.993464,51.5411,3,0,1.02254,0.048505
max_consecutive_redirects,10,Uniform,0.990126,28.7109,3,0,1.03462,0.087075
max_consecutive_redirects,20,Uniform,0.989752,48.6334,7,0,1.03393,0.051405
max_consecutive_redirects,1,Zipfian,0.81204,6.00312,53,47,1.71575,0.41645
max_consecutive_redirects,2,Zipfian,0.805319,5.23697,37,19,1.76446,0.477375
max_consecutive_redirects,3,Zipfian,0.816274,5.95238,21,2,1.69615,0.42
max_consecutive_redirects,5,Zipfian,0.799684,5.62025,15,0,1.76958,0.44482
max_consecutive_redirects,10,Zipfian,0.805202,6.15142,14,0,1.73819,0.40641
max_consecutive_redirects,20,Zipfian,0.80776,5.93,16,0,1.7423,0.421585
max_consecutive_redirects,1,Adversarial,0.811018,3.02953,48750,0,1.61545,0.82521
max_consecutive_redirects,2,Adversarial,0.811018,3.13794,48750,0,1.61545,0.7967
max_consecutive_redirects,3,Adversarial,0.811018,3.12279,48750,0,1.61545,0.800565
max_consecutive_redirects,5,Adversarial,0.811018,2.91988,48750,0,1.61545,0.8562
max_consecutive_redirects,10,Adversarial,0.811018,2.91226,48750,0,1.61545,0.85844
max_consecutive_redirects,20,Adversarial,0.811018,2.67926,48750,0,1.61545,0.933095
redirect_cooldown_ms,10,Uniform,0.984284,25.5102,5,0,1.05245,0.098
redirect_cooldown_ms,50,Uniform,0.992342,49.9251,6,0,1.02705,0.050075
redirect_cooldown_ms,100,Uniform,0.987085,56.1798,9,0,1.04382,0.0445
redirect_cooldown_ms,200,Uniform,0.993464,56.5227,3,0,1.02254,0.04423
redirect_cooldown_ms,500,Uniform,0.990126,50.4032,3,0,1.03462,0.0496
redirect_cooldown_ms,1000,Uniform,0.989752,60.1178,7,0,1.03393,0.041585
redirect_cooldown_ms,10,Zipfian,0.81204,6.11995,53,32,1.71575,0.4085
redirect_cooldown_ms,50,Zipfian,0.805319,6.70259,37,13,1.76446,0.37299
redirect_cooldown_ms,100,Zipfian,0.816274,6.33963,21,2,1.69615,0.394345
redirect_cooldown_ms,200,Zipfian,0.799684,5.6613,15,4,1.76958,0.441595
redirect_cooldown_ms,500,Zipfian,0.805202,5.04908,14,0,1.73819,0.49514
redirect_cooldown_ms,1000,Zipfian,0.80776,5.41747,16,4,1.7423,0.46147
redirect_cooldown_ms,10,Adversarial,0.811018,3.0259,48750,0,1.61545,0.8262
redirect_cooldown_ms,50,Adversarial,0.811018,2.82189,48750,0,1.61545,0.88593
redirect_cooldown_ms,100,Adversarial,0.811018,3.13036,48750,0,1.61545,0.79863
redirect_cooldown_ms,200,Adversarial,0.811018,2.6179,48750,0,1.61545,0.954965
redirect_cooldown_ms,500,Adversarial,0.811018,2.589,48750,0,1.61545,0.965625
redirect_cooldown_ms,1000,Adversarial,0.811018,2.05947,48750,0,1.61545,1.21391
vnodes_per_shard,4,Uniform,0.984284,29.4118,5,0,1.05245,0.085
vnodes_per_shard,8,Uniform,0.992342,54.5197,6,0,1.02705,0.045855
vnodes_per_shard,16,Uniform,0.987085,29.5718,9,0,1.04382,0.08454
vnodes_per_shard,32,Uniform,0.993464,41.1387,3,0,1.02254,0.06077
vnodes_per_shard,64,Uniform,0.990126,49.0436,3,0,1.03462,0.050975
vnodes_per_shard,128,Uniform,0.989752,26.5915,7,0,1.03393,0.094015
vnodes_per_shard,4,Zipfian,0.81204,4.76617,53,32,1.71575,0.52453
vnodes_per_shard,8,Zipfian,0.805319,5.9138,37,13,1.76446,0.42274
vnodes_per_shard,16,Zipfian,0.816274,6.23675,21,2,1.69615,0.40085
vnodes_per_shard,32,Zipfian,0.799684,4.26428,15,4,1.76958,0.586265
vnodes_per_shard,64,Zipfian,0.805202,5.74356,14,0,1.73819,0.43527
vnodes_per_shard,128,Zipfian,0.80776,6.58094,16,4,1.7423,0.379885
vnodes_per_shard,4,Adversarial,0.811018,2.85659,48750,0,1.61545,0.87517
vnodes_per_shard,8,Adversarial,0.811018,2.36653,48750,0,1.61545,1.0564
vnodes_per_shard,16,Adversarial,0.811018,2.54897,48750,0,1.61545,0.98079
vnodes_per_shard,32,Adversarial,0.811018,2.65456,48750,0,1.61545,0.941775
vnodes_per_shard,64,Adversarial,0.811018,2.53781,48750,0,1.61545,0.9851
vnodes_per_shard,128,Adversarial,0.811018,2.645,48750,0,1.61545,0.94518
window_size,10,Uniform,0.984284,27.7377,5,0,1.05245,0.09013
window_size,25,Uniform,0.992342,53.3333,6,0,1.02705,0.046875
window_size,50,Uniform,0.987085,53.3504,9,0,1.04382,0.04686
window_size,100,Uniform,0.993464,53.2879,3,0,1.02254,0.046915
window_size,200,Uniform,0.990126,27.6564,3,0,1.03462,0.090395
window_size,500,Uniform,0.989752,53.339,7,0,1.03393,0.04687
window_size,10,Zipfian,0.81204,5.75738,53,32,1.71575,0.434225
window_size,25,Zipfian,0.805319,5.03707,37,13,1.76446,0.49632
window_size,50,Zipfian,0.816274,5.98738,21,2,1.69615,0.417545
window_size,100,Zipfian,0.799684,4.43731,15,4,1.76958,0.563405
window_size,200,Zipfian,0.805202,5.4404,14,0,1.73819,0.459525
window_size,500,Zipfian,0.80776,5.61249,16,4,1.7423,0.445435
window_size,10,Adversarial,0.811018,2.83315,48750,0,1.61545,0.88241
window_size,25,Adversarial,0.811018,2.58282,48750,0,1.61545,0.967935
window_size,50,Adversarial,0.811018,2.83084,48750,0,1.61545,0.88313
window_size,100,Adversarial,0.811018,2.92894,48750,0,1.61545,0.85355
window_size,200,Adversarial,0.811018,2.99174,48750,0,1.61545,0.835635
window_size,500,Adversarial,0.811018,3.00864,48750,0,1.61545,0.83094
refresh_interval_ms,1,Uniform,0.984284,38.429,5,0,1.05245,0.065055
refresh_interval_ms,5,Uniform,0.992342,52.9213,6,0,1.02705,0.04724
refresh_interval_ms,10,Uniform,0.987085,55.6793,9,0,1.04382,0.0449
refresh_interval_ms,50,Uniform,0.993464,56.6059,3,0,1.02254,0.044165
refresh_interval_ms,100,Uniform,0.990126,56.5419,3,0,1.03462,0.044215
refresh_interval_ms,500,Uniform,0.989752,59.5522,7,0,1.03393,0.04198
refresh_interval_ms,1,Zipfian,0.81204,6.318,53,32,1.71575,0.395695
refresh_interval_ms,5,Zipfian,0.805319,6.39763,37,13,1.76446,0.39077
refresh_interval_ms,10,Zipfian,0.816274,6.21079,21,2,1.69615,0.402525
refresh_interval_ms,50,Zipfian,0.799684,6.20163,15,4,1.76958,0.40312
refresh_interval_ms,100,Zipfian,0.805202,6.40812,14,0,1.73819,0.39013
refresh_interval_ms,500,Zipfian,0.80776,6.19655,16,4,1.7423,0.40345
refresh_interval_ms,1,Adversarial,0.811018,2.78715,48750,0,1.61545,0.896975
refresh_interval_ms,5,Adversarial,0.811018,2.65775,48750,0,1.61545,0.940645
refresh_interval_ms,10,Adversarial,0.811018,1.69664,48750,0,1.61545,1.4735
refresh_interval_ms,50,Adversarial,0.811018,2.93608,48750,0,1.61545,0.851475
refresh_interval_ms,100,Adversarial,0.811018,2.81122,48750,0,1.61545,0.889295
refresh_interval_ms,500,Adversarial,0.811018,2.70785,48750,0,1.61545,0.92324
balance_score_min,0.5,Uniform,0.984284,53.3276,5,0,1.05245,0.04688
balance_score_min,0.6,Uniform,0.992342,53.322,6,0,1.02705,0.046885
balance_score_min,0.7,Uniform,0.987085,56.4334,9,0,1.04382,0.0443
balance_score_min,0.8,Uniform,0.993464,53.3675,3,0,1.02254,0.046845
balance_score_min,0.9,Uniform,0.990126,59.8158,3,0,1.03462,0.041795
balance_score_min,0.95,Uniform,0.989752,59.5522,7,0,1.03393,0.04198
balance_score_min,0.5,Zipfian,0.81204,6.61989,53,32,1.71575,0.37765
balance_score_min,0.6,Zipfian,0.805319,5.30211,37,13,1.76446,0.47151
balance_score_min,0.7,Zipfian,0.816274,5.69269,21,2,1.69615,0.43916
balance_score_min,0.8,Zipfian,0.799684,6.06966,15,4,1.76958,0.411885
balance_score_min,0.9,Zipfian,0.805202,6.23006,14,0,1.73819,0.40128
balance_score_min,0.95,Zipfian,0.80776,5.95628,16,4,1.7423,0.419725
balance_score_min,0.5,Adversarial,0.811018,2.84446,48750,0,1.61545,0.8789
balance_score_min,0.6,Adversarial,0.811018,2.4185,48750,0,1.61545,1.0337
balance_score_min,0.7,Adversarial,0.811018,3.03817,48750,0,1.61545,0.822865
balance_score_min,0.8,Adversarial,0.811018,2.70345,48750,0,1.61545,0.924745
balance_score_min,0.9,Adversarial,0.811018,2.48911,48750,0,1.61545,1.00438
balance_score_min,0.95,Adversarial,0.811018,2.92992,48750,0,1.61545,0.853265
